v8-version,4,6,85,31,0
code-creation,Stub,11,0x128d68012720,462,"BinaryOpICStub"
code-creation,Stub,2,0x128d68012900,586,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0x128d68012b60,256,"BinaryOpICStub"
code-creation,Handler,3,0x128d68012c60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68012d80,510,"CreateAllocationSiteStub"
code-creation,Stub,2,0x128d68012f80,2723,"RecordWriteStub"
code-creation,Stub,2,0x128d68013a40,2680,"RecordWriteStub"
code-creation,Stub,11,0x128d680144c0,458,"BinaryOpICStub"
code-creation,Stub,11,0x128d680146a0,152,"BinaryOpICStub"
code-creation,Stub,11,0x128d68014740,212,"BinaryOpICStub"
code-creation,Handler,3,0x128d68014820,112,"An IC handler from the snapshot"
code-creation,CallIC,8,0x128d680148a0,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x128d68014920,634,"A call IC from the snapshot"
code-creation,Stub,2,0x128d68014ba0,458,"ToObjectStub"
code-creation,Handler,3,0x128d68014d80,272,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68014ea0,462,"BinaryOpICStub"
code-creation,Handler,3,0x128d68015080,220,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68015160,372,"JSEntryStub"
code-creation,Stub,11,0x128d680152e0,458,"BinaryOpICStub"
code-creation,Stub,11,0x128d680154c0,292,"BinaryOpICStub"
code-creation,Stub,11,0x128d68015600,434,"BinaryOpICStub"
code-creation,Stub,2,0x128d680157c0,958,"StoreFastElementStub"
code-creation,Stub,2,0x128d68015b80,234,"CallFunctionStub"
code-creation,Handler,3,0x128d68015c80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68015d00,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68015d80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68015e00,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68015ee0,152,"BinaryOpICStub"
code-creation,CallIC,8,0x128d68015f80,634,"A call IC from the snapshot"
code-creation,Handler,3,0x128d68016200,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d680162e0,220,"BinaryOpICStub"
code-creation,CallIC,8,0x128d680163c0,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x128d68016440,527,"A call IC from the snapshot"
code-creation,Stub,11,0x128d68016660,256,"BinaryOpICStub"
code-creation,Stub,2,0x128d68016760,1786,"RecordWriteStub"
code-creation,Stub,2,0x128d68016e60,1222,"FastNewContextStub"
code-creation,Handler,3,0x128d68017340,160,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d680173e0,566,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,3,0x128d68017620,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d680176a0,458,"BinaryOpICStub"
code-creation,Stub,12,0x128d68017880,173,"CompareICStub"
code-creation,CallIC,8,0x128d68017940,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x128d680179c0,533,"A call IC from the snapshot"
code-creation,Stub,2,0x128d68017be0,524,"CallConstructStub"
code-creation,Handler,3,0x128d68017e00,220,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68017ee0,586,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x128d68018140,1077,"StringAddStub"
code-creation,Stub,11,0x128d68018580,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,2,0x128d68018600,1177,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,2,0x128d68018aa0,507,"NumberToStringStub"
code-creation,Stub,2,0x128d68018ca0,182,"DoubleToIStub"
code-creation,Stub,2,0x128d68018d60,382,"FastNewContextStub"
code-creation,Stub,11,0x128d68018ee0,152,"BinaryOpICStub"
code-creation,Handler,3,0x128d68018f80,112,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68019000,972,"NameDictionaryLookupStub"
code-creation,Stub,11,0x128d680193e0,438,"BinaryOpICStub"
code-creation,Stub,11,0x128d680195a0,344,"BinaryOpICStub"
code-creation,Stub,11,0x128d68019700,438,"BinaryOpICStub"
code-creation,Handler,3,0x128d680198c0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68019940,606,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0x128d68019ba0,458,"BinaryOpICStub"
code-creation,CallIC,8,0x128d68019d80,113,"A call IC from the snapshot"
code-creation,CallIC,8,0x128d68019e00,634,"A call IC from the snapshot"
code-creation,Handler,3,0x128d6801a080,120,"An IC handler from the snapshot"
code-creation,Stub,12,0x128d6801a100,173,"CompareICStub"
code-creation,Handler,3,0x128d6801a1c0,614,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d6801a440,494,"FastNewContextStub"
code-creation,Stub,11,0x128d6801a640,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d6801a720,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d6801a800,332,"BinaryOpICStub"
code-creation,Stub,2,0x128d6801a960,1394,"FastNewContextStub"
code-creation,Stub,2,0x128d6801aee0,422,"FastNewContextStub"
code-creation,Stub,12,0x128d6801b0a0,173,"CompareICStub"
code-creation,CallIC,8,0x128d6801b160,113,"A call IC from the snapshot"
code-creation,Stub,11,0x128d6801b1e0,364,"BinaryOpICStub"
code-creation,LoadIC,6,0x128d6801b360,514,"A load IC from the snapshot"
code-creation,Stub,2,0x128d6801b580,336,"StoreFastElementStub"
code-creation,Stub,11,0x128d6801b6e0,212,"BinaryOpICStub"
code-creation,Handler,3,0x128d6801b7c0,156,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6801b860,116,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6801b8e0,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d6801b9c0,256,"BinaryOpICStub"
code-creation,Stub,11,0x128d6801bac0,458,"BinaryOpICStub"
code-creation,Handler,3,0x128d6801bca0,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6801bd20,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d6801be40,360,"StoreFastElementStub"
code-creation,Handler,3,0x128d6801bfc0,336,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6801c120,152,"BinaryOpICStub"
code-creation,Stub,14,0x128d6801c1c0,151,"ToBooleanStub"
code-creation,KeyedLoadIC,7,0x128d6801c260,381,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,7,0x128d6801c3e0,1058,"A keyed load IC from the snapshot"
code-creation,Stub,2,0x128d6801c820,968,"NameDictionaryLookupStub"
code-creation,Stub,2,0x128d6801cc00,958,"StoreFastElementStub"
code-creation,Stub,11,0x128d6801cfc0,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d6801d0a0,458,"BinaryOpICStub"
code-creation,Handler,3,0x128d6801d280,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d6801d3a0,478,"FastNewContextStub"
code-creation,Stub,12,0x128d6801d580,173,"CompareICStub"
code-creation,Stub,11,0x128d6801d640,458,"BinaryOpICStub"
code-creation,Handler,3,0x128d6801d820,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6801d8a0,272,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6801d9c0,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6801da40,112,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6801dac0,434,"BinaryOpICStub"
code-creation,Handler,3,0x128d6801dc80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6801dd00,120,"An IC handler from the snapshot"
code-creation,CallIC,8,0x128d6801dd80,533,"A call IC from the snapshot"
code-creation,Stub,11,0x128d6801dfa0,332,"BinaryOpICStub"
code-creation,Stub,2,0x128d6801e100,1804,"RecordWriteStub"
code-creation,Stub,12,0x128d6801e820,677,"CompareICStub"
code-creation,Handler,3,0x128d6801eae0,272,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d6801ec00,220,"An IC handler from the snapshot"
code-creation,LoadIC,6,0x128d6801ece0,514,"A load IC from the snapshot"
code-creation,Stub,11,0x128d6801ef00,458,"BinaryOpICStub"
code-creation,Stub,11,0x128d6801f0e0,152,"BinaryOpICStub"
code-creation,Handler,3,0x128d6801f180,134,"An IC handler from the snapshot"
code-creation,Builtin,4,0x128d6801f220,122,"LoadIC_Miss"
code-creation,Handler,3,0x128d6801f2a0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d6801f320,1344,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,11,0x128d6801f860,152,"BinaryOpICStub"
code-creation,Stub,11,0x128d6801f900,438,"BinaryOpICStub"
code-creation,Stub,13,0x128d6801fac0,151,"CompareNilICStub"
code-creation,Stub,12,0x128d6801fb60,173,"CompareICStub"
code-creation,Stub,2,0x128d6801fc20,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0x128d6801fca0,199,"CallConstructStub"
code-creation,Stub,11,0x128d6801fd80,332,"BinaryOpICStub"
code-creation,Stub,2,0x128d6801fee0,562,"FastNewContextStub"
code-creation,Handler,3,0x128d68020120,244,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68020220,590,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x128d68020480,2674,"RecordWriteStub"
code-creation,Stub,11,0x128d68020f00,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d68020fe0,212,"BinaryOpICStub"
code-creation,Stub,2,0x128d680210c0,574,"ArrayNArgumentsConstructorStub"
